,Running ID,Model Name,Expand Contractions,Basic Preprocessing,Grammar Correction,Simplify Negotiations,Lemmatize,Remove Stop Words,No. of Sentences,Train Accuracy STOP,Test Accuracy STOP,Train Loss STOP,Test Loss STOP,Train_sentence_fully_catched_ratio,Test_sentence_fully_catched_ratio,Length of Sentence,Batch size of RNN
0,2022-5-17-14-13-14,RNN,1,1,1,1,0,1,5000,0.950600028,0.819327712,0.158576801,0.443795294,84.92,86.75470188,40,25
1,2022-5-17-14-51-45,RNN,1,1,1,0,0,1,5000,0.962800026,0.821528614,0.111730605,0.499242961,84.92,86.75470188,40,25
2,2022-5-17-14-13-14,RNN,0,1,1,1,0,1,5000,0.95480001,0.822529018,0.147509515,0.583328128,84.8,86.71468587,40,25
3,2022-5-17-14-13-14,RNN,1,1,0,0,0,1,5000,0.695599973,0.822929144,0.619357049,0.444995522,82.02,83.69347739,40,25
4,2022-5-17-14-57-43,RNN,0,1,1,0,0,1,5000,0.906199992,0.823229313,0.270478159,0.538911998,84.8,86.71468587,40,25
5,2022-5-17-14-13-14,RNN,1,1,1,1,0,0,5000,0.874800026,0.833033204,0.302298009,0.432712793,69.02,69.29771909,40,25
6,2022-5-17-14-13-14,RNN,0,1,1,1,0,0,5000,0.736999989,0.834133625,0.616063654,0.451318234,69,69.26770708,40,25
7,2022-5-17-14-13-14,RNN,0,1,0,1,0,1,5000,0.977400005,0.835234106,0.10489706,0.481892407,81.98,83.53341337,40,25
8,2022-5-17-14-13-14,RNN,1,1,0,1,0,0,5000,0.976599991,0.837134838,0.083370104,0.547302783,69.02,69.29771909,40,25
9,2022-5-17-14-13-14,RNN,1,1,0,1,0,1,5000,0.967800021,0.837535024,0.112065956,0.482102066,82.02,83.69347739,40,25
10,2022-5-17-14-13-14,RNN,1,1,1,0,0,0,5000,0.960399985,0.839635849,0.121776842,0.4766891,69.02,69.29771909,40,25
11,2022-5-17-14-13-14,RNN,0,1,0,0,0,1,5000,0.976999998,0.839935958,0.092267171,0.604323208,81.98,83.53341337,40,25
12,2022-5-17-14-45-54,RNN,0,1,1,0,0,0,5000,0.962400019,0.843237281,0.116701782,0.529152453,69,69.26770708,40,25
13,2022-5-17-14-13-14,RNN,0,1,0,1,0,0,5000,0.954200029,0.844137669,0.136933684,0.442508191,69,69.26770708,40,25
14,2022-5-17-14-13-14,RNN,0,1,0,0,0,0,5000,0.964600027,0.844837964,0.128209308,0.570044339,69,69.26770708,40,25
15,2022-5-17-14-13-14,RNN,1,1,0,0,0,0,5000,0.959599972,0.845638275,0.123438768,0.44264555,69.02,69.29771909,40,25
