,Running ID,Model Name,Expand Contractions,Basic Preprocessing,Grammar Correction,Simplify Negotiations,Lemmatize,Remove Stop Words_ver2,No. of Sentences,Train Accuracy STOP,Test Accuracy STOP,Train Loss STOP,Test Loss STOP,Train_sentence_fully_catched_ratio,Test_sentence_fully_catched_ratio,Length of Sentence,Batch size of RNN,,
0,2022-5-17-13-36-29,RNN,0,1,1,0,0,1,1000,0.236000001,0.431672662,11.7846632,8.766422272,94.7,86.71468587,40,25,,re
1,2022-5-17-14-7-2,RNN,1,1,0,1,0,0,1000,0.875,0.641756713,0.279349774,0.660124958,82.7,69.29771909,40,25,,
2,2022-5-17-13-36-29,RNN,1,1,1,1,0,1,1000,0.236000001,0.431672662,11.7846899,8.766422272,94.7,86.75470188,40,25,,re
3,2022-5-17-13-36-29,RNN,1,1,1,0,0,1,1000,0.762000024,0.568127275,0.537670255,0.805081666,94.7,86.75470188,40,25,,
4,2022-5-17-13-36-29,RNN,1,1,0,1,0,1,1000,0.768999994,0.577030838,0.53065002,0.799561024,93.4,83.69347739,40,25,,
5,2022-5-17-13-36-29,RNN,0,1,1,1,0,1,1000,0.792999983,0.578231275,0.488758683,0.763314724,94.7,86.71468587,40,25,,
6,2022-5-17-13-36-29,RNN,0,1,0,1,0,1,1000,0.796000004,0.58033216,0.505127788,0.777870059,93.3,83.53341337,40,25,,
7,2022-5-17-13-36-29,RNN,1,1,0,0,0,1,1000,0.774999976,0.586034417,0.530483067,0.825629294,93.4,83.69347739,40,25,,
8,2022-5-17-13-36-29,RNN,0,1,0,0,0,1,1000,0.795000017,0.587034822,0.506230772,0.773721397,93.3,83.53341337,40,25,,
9,2022-5-17-13-36-29,RNN,0,1,1,0,0,0,1000,0.806999981,0.601540625,0.48259598,0.745753109,82.7,69.26770708,40,25,,
10,2022-5-17-13-36-29,RNN,1,1,0,0,0,0,1000,0.80400002,0.605242074,0.485812157,0.742799044,82.7,69.29771909,40,25,,
11,2022-5-17-13-36-29,RNN,1,1,1,0,0,0,1000,0.791999996,0.609343767,0.504578114,0.723899961,82.7,69.29771909,40,25,,
12,2022-5-17-13-36-29,RNN,1,1,1,1,0,0,1000,0.82099998,0.611844718,0.437696159,0.734118521,82.7,69.29771909,40,25,,
13,2022-5-17-13-36-29,RNN,0,1,0,1,0,0,1000,0.787999988,0.619047642,0.516307533,0.713736594,82.7,69.26770708,40,25,,
14,2022-5-17-13-36-29,RNN,0,1,1,1,0,0,1000,0.930999994,0.705082059,0.176262259,0.636511445,82.7,69.26770708,40,25,,
15,2022-5-17-13-36-29,RNN,0,1,0,0,0,0,1000,0.961000025,0.764105618,0.119620554,0.680419862,82.7,69.26770708,40,25,,
